idestado,idmunicipio,nomcicloproductivo,anio,tmean_ciclo,tmin_ciclo_mean,tmax_ciclo_mean,dias_helada,gdd_ciclo,tmean_inicio,tmean_preseason,tmean_prev90,tmean_prev90_normal,tmean_prev90_anom,tmean_normal,tmean_ciclo_anom,tmean_ciclo_anom_z,gdd_normal,gdd_anom,tmean_inicio_anom,tmean_preseason_anom,n_dias_ventana,n_dias_con_dato,n_dias_prev90,ventana_incompleta,prev90_incompleta
15,108,OI,2023,15.664944751381212,6.9378453038674035,24.39204419889503,0.0,1028.7299999999998,14.91295081967213,17.377213114754102,17.7845,17.952756944444445,-0.16825694444444395,15.665651875940204,-0.0007071245589926889,-0.0017359740649362306,1041.931875,-13.2018750000002,0.26260894808743096,-0.3161885245901601,181,181,90,False,False
15,108,PV,2023,18.47155737704918,11.381038251366116,25.56207650273224,0.0,1552.055,15.73598360655738,17.05745762711864,16.201444444444444,15.421944444444444,0.7795000000000005,18.808282103825135,-0.3367247267759552,-0.9449990773658249,1613.03875,-60.98374999999987,-3.3118442622950788,0.7803732344632728,183,183,90,False,False
15,108,OI,2024,16.69925824175824,7.842802197802197,25.555714285714284,1.0,1223.53,15.219590163934429,18.765081967213114,18.944333333333333,17.952756944444445,0.9915763888888875,15.665651875940204,1.033606365818036,2.5374791775993915,1041.931875,181.59812499999998,0.5692482923497302,1.071680327868851,182,182,90,False,False
15,108,PV,2024,20.30568306010929,12.782622950819674,27.8287431693989,0.0,1885.94,21.88868852459016,17.183749999999996,16.51016666666667,15.421944444444444,1.0882222222222264,18.808282103825135,1.497400956284153,4.202371877123084,1613.03875,272.9012500000001,2.8408606557377034,0.9066656073446282,183,183,90,False,False
15,109,OI,2016,15.774807692307697,7.279560439560438,24.270054945054948,2.0,1062.16,15.275491803278689,17.937540983606553,18.10161111111111,17.897729166666664,0.20388194444444707,15.64978773024474,0.1250199620629573,0.30833957489551234,1039.180625,22.97937500000012,0.6408522882513665,0.2910040983606521,182,182,90,False,False
15,109,PV,2016,19.036830601092895,11.468032786885244,26.605628415300547,0.0,1653.7399999999998,20.12926229508197,15.744499999999997,14.873222222222225,15.413916666666665,-0.5406944444444406,18.750799180327867,0.28603142076502763,0.806747999104604,1602.5625,51.17749999999978,1.127674180327869,-0.5212803672316415,183,183,90,False,False
15,109,OI,2017,15.83536111111111,6.7606111111111105,24.91011111111111,0.0,1050.3650000000002,15.277999999999995,17.536393442622956,17.895444444444447,17.897729166666664,-0.002284722222217539,15.64978773024474,0.1855733808663711,0.45768384843570287,1039.180625,11.184375000000273,0.6433604849726731,-0.11014344262294529,181,180,90,False,False
15,109,PV,2017,18.877814207650275,11.366775956284156,26.3888524590164,0.0,1624.64,19.43959016393443,16.099406779661017,15.421,15.413916666666665,0.0070833333333339965,18.750799180327867,0.12701502732240755,0.35824427566210076,1602.5625,22.0775000000001,0.43800204918033003,-0.1663735875706216,183,183,90,False,False
15,109,OI,2018,15.560524861878452,6.271104972375691,24.849944751381216,5.0,1012.485,14.09713114754098,17.462868852459014,17.86933333333333,17.897729166666664,-0.028395833333334508,15.64978773024474,-0.08926286836628705,-0.22015104173647815,1039.180625,-26.69562499999995,-0.5375083674863426,-0.18366803278688693,181,181,90,False,False
15,109,PV,2018,18.589726775956283,10.948743169398908,26.230710382513656,0.0,1571.9199999999998,19.013934426229504,17.055847457627117,15.507833333333336,15.413916666666665,0.09391666666667042,18.750799180327867,-0.1610724043715841,-0.4543026762241331,1602.5625,-30.642500000000155,0.012346311475404548,0.7900670903954783,183,183,90,False,False
15,109,OI,2019,15.621519337016574,6.5568508287292815,24.686187845303863,3.0,1055.695,13.498770491803278,17.93614754098361,17.909055555555558,17.897729166666664,0.011326388888893035,15.64978773024474,-0.028268393228165323,-0.06971898093012023,1039.180625,16.514374999999973,-1.1358690232240445,0.28961065573771094,181,181,90,False,False
15,109,PV,2019,19.03275956284153,11.078087431693987,26.98743169398907,0.0,1652.995,19.633852459016392,17.177627118644065,16.001166666666663,15.413916666666665,0.5872499999999974,18.750799180327867,0.2819603825136632,0.7952656872845169,1602.5625,50.43249999999989,0.6322643442622926,0.9118467514124262,183,183,90,False,False
15,109,OI,2020,16.277197802197804,7.366483516483518,25.18791208791208,0.0,1142.45,15.341639344262296,18.180327868852455,18.43561111111111,17.897729166666664,0.5378819444444467,15.64978773024474,0.6274100719530651,1.5473957252822637,1039.180625,103.26937500000008,0.7069998292349737,0.5337909836065542,182,182,90,False,False
15,109,PV,2020,18.963579234972677,11.194262295081966,26.73289617486339,0.0,1640.3349999999998,19.71598360655738,16.697166666666668,15.671277777777778,15.413916666666665,0.2573611111111127,18.750799180327867,0.21278005464480998,0.6001434488383913,1602.5625,37.77249999999981,0.7143954918032804,0.4313862994350295,183,183,90,False,False
15,109,OI,2021,14.814277777777775,5.769277777777777,23.859277777777777,5.0,934.775,14.536083333333334,17.06827868852459,17.461499999999997,17.897729166666664,-0.4362291666666671,15.64978773024474,-0.835509952466964,-2.0606371919622024,1039.180625,-104.40562499999999,-0.09855618169398817,-0.5782581967213112,181,180,90,False,False
