anio,cosechada,idcader,idciclo,idcultivo,idddr,idestado,idmodalidad,idmunicipio,idunidadmedida,nomcader,nomcicloproductivo,nomcultivo,nomddr,nomestado,nommodalidad,nommunicipio,nomunidad,precio,rendimiento,sembrada,siniestrada,valorproduccion,volumenproduccion
2016,511.0,2,1,7490000,10,4,2,9,200201,Yohaltúm,Otoño-Invierno,Maíz grano,Champotón,Campeche,Temporal,Escárcega,Tonelada,3500.0,1.83,511.0,0.0,3272955.0,935.13
2016,5300.0,2,2,7490000,10,4,2,9,200201,Yohaltúm,Primavera-Verano,Maíz grano,Champotón,Campeche,Temporal,Escárcega,Tonelada,3500.0,0.75,5300.0,0.0,13912500.0,3975.0
2016,311.0,2,1,7490000,10,4,2,10,200201,Yohaltúm,Otoño-Invierno,Maíz grano,Champotón,Campeche,Temporal,Calakmul,Tonelada,3500.0,1.79,311.0,0.0,1948415.0,556.69
2016,4360.0,2,2,7490000,10,4,2,10,200201,Yohaltúm,Primavera-Verano,Maíz grano,Champotón,Campeche,Temporal,Calakmul,Tonelada,3500.0,0.7,4360.0,0.0,10682000.0,3052.0
2016,963.0,1,1,7490000,11,4,2,3,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Temporal,Carmen,Tonelada,3497.34,0.84,967.0,4.0,2839140.61,811.8
2016,0.0,1,2,7490000,11,4,1,3,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Riego,Carmen,Tonelada,0.0,0.0,23.0,23.0,0.0,0.0
2016,7380.0,1,2,7490000,11,4,2,3,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Temporal,Carmen,Tonelada,3657.71,0.68,7500.0,120.0,18252704.44,4990.2
2016,13.0,1,1,7490000,11,4,1,9,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Riego,Escárcega,Tonelada,3359.25,3.9,13.0,0.0,170313.98,50.7
2016,1402.0,1,1,7490000,11,4,2,9,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Temporal,Escárcega,Tonelada,3498.96,0.66,1406.0,4.0,3251583.53,929.3
2016,23.0,1,2,7490000,11,4,1,9,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Riego,Escárcega,Tonelada,3676.91,4.7,46.0,23.0,397473.97,108.1
2016,10002.0,1,2,7490000,11,4,2,9,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Temporal,Escárcega,Tonelada,3663.82,0.65,10080.0,78.0,23924744.6,6530.0
2016,32.0,1,1,7490000,11,4,1,11,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Riego,Candelaria,Tonelada,3318.75,3.6,32.0,0.0,382320.0,115.2
2016,1639.0,1,1,7490000,11,4,2,11,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Temporal,Candelaria,Tonelada,3496.81,0.76,1643.0,4.0,4334820.52,1239.65
2016,33.0,1,2,7490000,11,4,1,11,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Riego,Candelaria,Tonelada,3686.24,4.7,33.0,0.0,571735.82,155.1
2016,12107.0,1,2,7490000,11,4,2,11,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Temporal,Candelaria,Tonelada,3650.85,0.67,12423.0,316.0,29539538.47,8091.14
2016,138.5,2,1,7490000,11,4,2,7,200201,Sta. Adelaida,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Temporal,Palizada,Tonelada,3451.56,0.86,140.0,1.5,411943.69,119.35
2016,766.0,2,2,7490000,11,4,2,7,200201,Sta. Adelaida,Primavera-Verano,Maíz grano,Escárcega,Campeche,Temporal,Palizada,Tonelada,3658.61,0.71,778.0,12.0,2003381.66,547.58
2016,138.0,1,2,7490000,12,5,1,2,200201,Jiménez,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Acuña,Tonelada,3576.99,2.16,138.0,0.0,1066229.18,298.08
2016,183.5,1,2,7490000,12,5,1,14,200201,Jiménez,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Jiménez,Tonelada,3605.36,2.25,183.5,0.0,1488581.04,412.88
2016,13.0,1,2,7490000,12,5,2,14,200201,Jiménez,Primavera-Verano,Maíz grano,Acuña,Coahuila,Temporal,Jiménez,Tonelada,3500.0,1.12,13.0,0.0,50960.0,14.56
2016,105.0,2,2,7490000,12,5,1,3,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Allende,Tonelada,3851.54,2.39,105.0,0.0,966543.96,250.95
2016,19.5,2,2,7490000,12,5,2,3,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Temporal,Allende,Tonelada,3820.0,0.9,19.5,0.0,67041.0,17.55
2016,110.5,2,2,7490000,12,5,1,19,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Morelos,Tonelada,3868.94,2.25,110.5,0.0,961934.55,248.63
2016,28.0,2,2,7490000,12,5,2,19,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Temporal,Morelos,Tonelada,3815.0,0.85,28.0,0.0,90797.0,23.8
2016,97.0,2,2,7490000,12,5,1,37,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Villa Unión,Tonelada,3872.02,2.28,97.0,0.0,856335.94,221.16
2016,14.0,2,2,7490000,12,5,2,37,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Temporal,Villa Unión,Tonelada,3825.0,0.86,14.0,0.0,46053.0,12.04
2016,325.0,2,2,7490000,12,5,1,38,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Zaragoza,Tonelada,3878.71,2.85,325.0,0.0,3592655.14,926.25
2016,36.5,2,2,7490000,12,5,2,38,200201,Zaragoza,Primavera-Verano,Maíz grano,Acuña,Coahuila,Temporal,Zaragoza,Tonelada,3825.0,0.91,36.5,0.0,127066.5,33.22
2016,232.5,3,2,7490000,12,5,1,12,200201,Piedras Negras,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Guerrero,Tonelada,3675.44,2.59,232.5,0.0,2213239.7,602.17
2016,6.5,3,2,7490000,12,5,1,13,200201,Piedras Negras,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Hidalgo,Tonelada,3650.0,2.13,6.5,0.0,50552.5,13.85
2016,1600.0,3,2,7490000,12,5,1,22,200201,Piedras Negras,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Nava,Tonelada,3578.55,6.17,1600.0,0.0,35327445.6,9872.0
2016,4.0,3,2,7490000,12,5,1,25,200201,Piedras Negras,Primavera-Verano,Maíz grano,Acuña,Coahuila,Riego,Piedras Negras,Tonelada,3580.0,2.87,4.0,0.0,41098.4,11.48
2016,4.5,1,2,7490000,13,5,1,28,200201,San Juan Sabinas,Primavera-Verano,Maíz grano,Sabinas,Coahuila,Riego,Sabinas,Tonelada,3930.06,2.69,4.5,0.0,47593.03,12.11
2016,14.5,1,2,7490000,13,5,2,28,200201,San Juan Sabinas,Primavera-Verano,Maíz grano,Sabinas,Coahuila,Temporal,Sabinas,Tonelada,3900.45,1.15,14.5,0.0,65020.5,16.67
2016,64.5,1,2,7490000,13,5,1,32,200201,San Juan Sabinas,Primavera-Verano,Maíz grano,Sabinas,Coahuila,Riego,San Juan de Sabinas,Tonelada,3924.78,2.77,64.5,0.0,701240.44,178.67
2016,16.0,1,2,7490000,13,5,2,32,200201,San Juan Sabinas,Primavera-Verano,Maíz grano,Sabinas,Coahuila,Temporal,San Juan de Sabinas,Tonelada,3907.61,0.94,16.0,0.0,58770.45,15.04
2016,8.0,2,2,7490000,13,5,1,20,200201,Múzquiz,Primavera-Verano,Maíz grano,Sabinas,Coahuila,Riego,Múzquiz,Tonelada,3948.0,2.1,8.0,0.0,66326.4,16.8
2016,37.7,2,2,7490000,13,5,2,20,200201,Múzquiz,Primavera-Verano,Maíz grano,Sabinas,Coahuila,Temporal,Múzquiz,Tonelada,3895.0,1.13,37.7,0.0,165927.0,42.6
2016,11.3,3,2,7490000,13,5,2,26,200201,Progreso,Primavera-Verano,Maíz grano,Sabinas,Coahuila,Temporal,Progreso,Tonelada,3900.0,1.4,11.3,0.0,61776.0,15.84
