LON,LAT,EDO,CLAVE,ESTACION,jul-14
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",123
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",222
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",30.2
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",264
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",355.4
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",60.6
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",209.7
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",61.5
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",310.22
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",182.6
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",67.1
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",186.31
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",222.42
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",113.6
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",119.4
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",141.6
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",83.7
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",8.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",427.06
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",3.1
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",111.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",27.22
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",339.21
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",247.33
-92.4,14.7,CHIS,PTOCHIAPASmar,"Puerto Chiapas, Chis. SEMAR*",58.11
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",209.1
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",130.31
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",219.81
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",202.4
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",157.9
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",261.1
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",47
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",60.8
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",50.66
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",123.82
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",144.9
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",290.3
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",72.54
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",137.2
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",84.61
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",135.5
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",237
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",72.3
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",163.9
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",163.3
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",165.31
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",101.3
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",108.91
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",50
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",83.46
-93.270833,16.233333,CHIS,VIFCP,"Villaflores, Chis.",152.5
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",136.4
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",41.51
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",6
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",2.5
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",24.5
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",21.11
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",8
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",59.5
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",26
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",58.5
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",55.4
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",47.01
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",17.6
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos Múzquiz, Coah. SMN*",62.8
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",8.2
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",6.7
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",26.5
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",39
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",111
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",75.8
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",54
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",27
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",101.8
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",17.84
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",53.7
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",17
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",12.6
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",19.51
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",204
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",69.4
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",191
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",58.6
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",120.5
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",185.6
-103.733333,19.233333,COL,COLIMAob,"Observatorio de Colima, Col. SMN*",125
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",88.4
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",173
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",94.2
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",59.66
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",105.6
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",80.2
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",59.2
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",72.7
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",223.2
-104.1,18.936111,COL,RDRCM,"Radar, Col.",101
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",317.3
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",68.5
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",175
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",276.3
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",123.19
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",122.7
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",120.3
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",157.3
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",189
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",80
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SEGIAGUA",186
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",3.2
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",186.3
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",195.5
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",11.4
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",99.8
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",52
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",180.6
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",133.3
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",115
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",213
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",6.1
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",0
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",169
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",148.5
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",172.2
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",4.4
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",162
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",146.4
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",27.1
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",190.8
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",127.6
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",167
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",106.4
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",91.6
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",148.3
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",157.5
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",158.8
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",121.2
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",4.6
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",70.7
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",117.5
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",51.4
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",11.7
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",15.3
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",40.9
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",39.9
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",146.9
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",29.4
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",230.4
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",51.8
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",104.3
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",81.2
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",161.7
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",42.6
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",223.3
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",131.3
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",140.4
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",49.7
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",205.5
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",161.9
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",149
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",119.38
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",166.1
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",183.9
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",83.7
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",168.5
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",141.5
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",170.2
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",196.2
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de Méx.",120.2
-99.181111,19.3475,DF,UNIVERSIDADDF,"Universidad, Cd. de Méx. SEGIAGUA",211.36
-104.066111,25.263333,DGO,AM2DR,"Agustín Melgar, Dgo. SMN*",7.75
-104.7,24,DGO,CAGDR,"Campo Agrícola, Dgo.",98.9
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",67.8
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",106.6
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",36.71
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",33.3
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",95
-104.599722,24.094722,DGO,DURANGOob,"Observatorio de Durango, Dgo. SMN*",99.8
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",113.5
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",18.02
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",127.01
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",164.01
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",99.3
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",50.2
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",87.82
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",134.02
-103.7475,26.686389,DGO,MAPIMI,"Mapimí, Dgo. SMN*",26
