LON,LAT,EDO,CLAVE,ESTACION,may-16
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",2
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",98.5
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",56.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",48.3
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",155.92
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",71.7
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",38.1
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",13.4
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",96.8
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",70.68
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",78.7
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",303.82
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",153.21
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",66.8
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",124.3
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",59.8
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",112.4
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",97.5
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",69.1
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",101.2
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",66.96
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",104.5
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",171.81
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",142.38
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",121.79
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",140.5
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",391.1
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",239.6
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",382.5
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",252.9
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",57
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",79.4
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",54.6
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",251
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",150.4
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",173.1
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",199.73
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",66.9
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",267.7
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",56.4
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",359.63
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",468.94
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",48
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",442.1
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",166.9
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",72
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",260.21
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",32.31
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",53.5
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",48.3
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",39.2
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",340.1
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",13.6
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",23.5
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",449.02
-93.105833,16.741944,CHIS,MODULO5,"Módulo Cinco, Chis. SGT*",0
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",79.8
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y Tecnología, Chis. SGT*",97.3
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",109.4
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",121.5
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",54.8
-93.087778,16.760278,CHIS,PARQUEOTE,"Parque Oriente, Chis. SGT*",0
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",16.3
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",30.31
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",352.3
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",25.5
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",58.2
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",22.3
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",189.24
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",112.8
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",141.35
-94.003889,16.471111,CHIS,RSACP,"Rosendo Salazar, Chis.",52
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",184.8
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",26.3
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",121
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",94.91
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",204.5
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",203.4
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",141.54
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",82.21
-93.1,16.786111,CHIS,SECTEC103,"Secundaria Técnica 103, Chis. SGT*",75.1
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria Técnica 59, Chis. SGT*",41.1
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",78.2
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",28.1
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",51.6
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",228.2
