LON,LAT,EDO,CLAVE,ESTACION,ago-14
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",166.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",421.53
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",254
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",291.54
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",255.4
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",355.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",66.6
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",291
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",348.8
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",238.9
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",566.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",144.91
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",513.5
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",334.51
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",5.7
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",301.71
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",113.91
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",120.8
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",126.23
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",150.6
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",229.8
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",157.7
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",539.54
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",10.3
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",197.3
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",239.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",144.21
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",339.21
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",387.33
-92.4,14.7,CHIS,PTOCHIAPASmar,"Puerto Chiapas, Chis. SEMAR*",71.47
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",262.3
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",309.11
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",160.93
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",309.1
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",235.3
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",253.2
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",15.6
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",119.7
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",109.05
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",108.52
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",211.5
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",412.6
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",212.41
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",111.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",182.63
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",220.4
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",329.31
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",462.52
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",485.38
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",124.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",178.54
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",133
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",174.23
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",285.9
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",122.87
-93.270833,16.233333,CHIS,VIFCP,"Villaflores, Chis.",73.54
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",401.2
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",114.04
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",16
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",10.9
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",27.3
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",10
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",7.5
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",37
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",9
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",76.11
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",48.4
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",110.5
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",30.8
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos Múzquiz, Coah. SMN*",51.2
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",15.6
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",15.6
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",48.5
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",23
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",131.2
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",77.5
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",57
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",81.7
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",55.88
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",34.1
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",83.4
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",75.8
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",126.5
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",246.5
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",106.9
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",114.8
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",205
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",191.2
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",83.1
-103.733333,19.233333,COL,COLIMAob,"Observatorio de Colima, Col. SMN*",191.2
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",108.2
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",187
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",214.9
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",150.17
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",55.9
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",110
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",155
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",332
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",117.7
-104.1,18.936111,COL,RDRCM,"Radar, Col.",291
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",218.9
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",237.5
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",125.2
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",133.9
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",94.9
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",219.8
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",123
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",125.7
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",122.4
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",162.6
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",76.2
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",98.2
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",301.5
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",20.6
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",73.3
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",39
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",176.5
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",166.9
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",162.5
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",140.4
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",65
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",20.9
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",153.7
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",215.5
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",111
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",137.6
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",160.7
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",145.8
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",38
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",130.3
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",178.5
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",170.6
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",98.1
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",95.4
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",68.4
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",167.1
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",213.8
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",124.7
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",111
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",75.4
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",139.3
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",91.5
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",160.8
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",33.1
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",50.2
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",99.7
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",100.7
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",46
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",121.7
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",35.4
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",136.6
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",186.4
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",210.8
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",8.6
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",233.7
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",115.3
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",1.3
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",172
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",78.5
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",75.8
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",248.3
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",142.9
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",125.71
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",260
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",117.7
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",81.7
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",149
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",236.7
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",215.8
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",370.4
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de Méx.",52.9
-104.066111,25.263333,DGO,AM2DR,"Agustín Melgar, Dgo. SMN*",5.5
-104.7,24,DGO,CAGDR,"Campo Agrícola, Dgo.",78.7
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",90.7
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",136
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",110.3
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",73.1
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",80.3
-104.599722,24.094722,DGO,DURANGOob,"Observatorio de Durango, Dgo. SMN*",72.8
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",112.6
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",67.9
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",91.03
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",116.5
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",81.2
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",13.8
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",105.8
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",154.15
-103.7475,26.686389,DGO,MAPIMI,"Mapimí, Dgo. SMN*",75.4
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",113.5
