LON,LAT,EDO,CLAVE,ESTACION,oct-13
-100.885833,20.216667,GTO,SLVGJ,"Salvatierra, Gto.",63.73
-100.745833,20.577778,GTO,SMOGJ,"San Miguel Octopan, Gto.",1.8
-101.066944,20.298333,GTO,SRTGJ,"Santa Rita, Gto.",33.81
-100.7525,20.284722,GTO,TARGJ,"Tarimoro, Gto.",54.52
-101.3,20.6,GTO,TEMGJ,"Temascatío, Gto.",67.31
-101.178889,20.382778,GTO,VDSGJ,"Valle de Santiago, Gto.",57.51
-100.0925,21.298889,GTO,XICGJ,"Xichú, Gto.",59.94
-98.941667,20.268056,HGO,ACTHD,"Actopan, Hgo.",31.5
-98.348056,21.019444,HGO,ATCHD,"Atlapexco, Hgo.",285.01
-98.716111,20.185556,HGO,ELCHICO,"El Chico, Hgo. SMN*",147.8
-99.36,20.163889,HGO,ENDHD,"Endhó, Hgo.",75.5
-98.416667,21.15,HGO,HJTHD,"Huejutla, Hgo.",267
-99.706944,20.32,HGO,HUICHAPAN,"Huichapan, Hgo. SMN*",64.25
-99.220833,20.481944,HGO,IXMHD,"Ixmiquilpan, Hgo.",20.81
-98.757222,20.591667,HGO,LMTHD,"Metztitlán, Hgo.",44.91
-99.218611,20.2375,HGO,MXQHD,"Mixquiahuala, Hgo.",65
-98.6,21.166667,HGO,ORZHD,"San Felipe Orizatlán, Hgo.",205.02
-98.7475,20.123333,HGO,PCOHD,"Observatorio de Pachuca, Hgo.",38.33
-98.334722,20.0575,HGO,PERHD,"La Esperanza, Hgo.",46.27
-99.329444,20.359722,HGO,PRGHD,"Javier Rojo Gómez, Hgo.",46
-99.310833,19.963056,HGO,PRQHD,"Requena, Hgo.",35
-99.375833,20.435556,HGO,PVAHD,"Vicente Aguirre, Hgo.",45
-98.369444,20.083333,HGO,TLGHD,"Observatorio de Tulancingo, Hgo.",36.22
-98.658611,20.991667,HGO,TLNHD,"Tlanchinol, Hgo.",312.31
-99.501111,20.663333,HGO,ZMPHD,"Ing. Fernando Hiriart Balderrama, Hgo.",18.6
-98.647222,20.652778,HGO,ZXTHD,"Zacualtipán, Hgo.",158.5
-103.133333,20.316667,JAL,ACHAPALAGDL,"Acueducto Chapala Guadalajara, Jal. SGT*",37.6
-103.228611,22.325833,JAL,ACHZC,"Achimec, Jal.",37.23
-102.436944,21.599444,JAL,AJJJL,"Ajojucar, Jal.",32.3
-103.091944,20.397222,JAL,ATQJL,"Atequiza, Jal.",39.4
-104.063611,19.914444,JAL,BBAJL,"Basilio Vadillo, Jal.",15
-103.724444,22.406111,JAL,BCSJL,"Bocas, Jal.",42.9
-103.782778,21.831667,JAL,BLNJL,"Bolaños, Jal.",28.6
-103.464722,19.730556,JAL,CDGUZMANob,"Observatorio de Ciudad Guzmán, Jal. SMN*",22.2
-103.201944,20.290556,JAL,CHAJL,"Chapala 1, Jal. SMN*",11.93
-102.774167,19.287778,JAL,CHLMC,"Constitución de Apatzingán, Jal.",151.03
-104.561944,19.2375,JAL,CIHJL,"Cihuatlán, Jal.",118.3
-103.361944,22.058889,JAL,CLLJL,"Casa Llanta, Jal.",77.2
-103.25,22.133333,JAL,CLTJL,"Observatorio de Colotlán, Jal.",37.3
-103.267778,22.107222,JAL,COLOTLANob,"Observatorio de Colotlán, Jal. SMN*",30.6
-105.129722,19.9975,JAL,CPEJL,"Cajón de Peña, Jal.",84.1
-104.780833,20.479722,JAL,CRNJL,"Corrinchis, Jal.",64.21
-101.7375,21.497778,JAL,CRTJL,"El Cuarenta, Jal.",39.9
-105.218333,20.593333,JAL,CULJL,"Cuale, Jal.",126.8
-103.45,21.066667,JAL,CXTJL,"Cuixtla, Jal.",44.41
-103.335,20.723333,JAL,EXPJL,"La Experiencia, Jal.",108.4
-103.354444,20.680556,JAL,GUAJL,"Guadalajara Centro, Jal.",86.91
-102.25,20.483333,JAL,HUAJL,"Huascato, Jal.",23.21
-102.705833,20.293889,JAL,JMYJL,"Jamay, Jal.",28.9
-102.558333,20.275556,JAL,LABARCA,"La Barca, Jal. SGT*",30
-103.426111,21.048611,JAL,LABOQUILLACFE,"La Boquilla, Jal. CFE*",27.3
-103.644167,20.676389,JAL,LAPRIMAVERA,"La Primavera, Jal. SMN*",18.8
-103.201667,20.290556,JAL,LDCJL,"Lago de Chapala, Jal.",28.4
-101.919722,21.359722,JAL,LDMJL,"Lagos de Moreno, Jal.",20.3
-101.941944,21.348333,JAL,LMORENOob,"Observatorio de Lagos de Moreno, Jal. SMN*",27.2
-103.033333,20.316667,JAL,MEZCALA,"Mezcala Poncitlán, Jal. SGT*",9.6
-104.786389,20.525278,JAL,MSCJL,"Mascota, Jal.",114.9
-103.590833,19.592222,JAL,NEVADOCOLIMA,"Nevado de Colima, Jal. SMN*",42.8
-101.916667,21.366667,JAL,OLMJL,"Observatorio de Lagos de Moreno, Jal.",26.4
-102.531667,21.336389,JAL,PELSABINOCFE,"Paso el Sabino, Jal. CFE*",17.5
-104.105833,21.196944,JAL,PLYJL,"Ing. Alfredo Elías Ayub, Jal.",5
