LON,LAT,EDO,CLAVE,ESTACION,jun-16
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",213
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",352
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",113.4
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",312.62
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",219.1
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",178.4
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",235.13
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",222.25
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",143.52
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",94.1
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",337
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",307.7
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",276.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",487.41
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",238.2
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",231.2
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",299.4
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",286.3
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",401.51
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",422.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",245
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",483.4
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",482.8
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",178.1
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",348.8
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",119.5
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",280.02
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",663.41
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",195.6
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",622.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",248.8
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",274.2
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",119
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",248.51
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",300.82
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",183.6
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",271.22
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",207.2
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",247.81
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",163.7
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",597
-93.105833,16.741944,CHIS,MODULO5,"Módulo Cinco, Chis. SGT*",22.2
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",145.6
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y Tecnología, Chis. SGT*",126.6
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",176.4
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",350.1
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",275
-93.087778,16.760278,CHIS,PARQUEOTE,"Parque Oriente, Chis. SGT*",78.7
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",242.82
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",367.51
-93.474444,17.463611,CHIS,PENITAS,"Peñitas, Chis. SGT*",455
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",394.8
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",147.9
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",271
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",265.8
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",321.9
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",355.11
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",320.7
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",275.12
-94.003889,16.471111,CHIS,RSACP,"Rosendo Salazar, Chis.",224.2
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",285.6
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",204.5
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",404.8
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",238.11
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",165
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",298.31
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",276.22
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",418.8
-93.1,16.786111,CHIS,SECTEC103,"Secundaria Técnica 103, Chis. SGT*",239.4
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria Técnica 59, Chis. SGT*",112.7
