LON,LAT,EDO,CLAVE,ESTACION,feb-15
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",2.21
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0.01
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",160.3
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0.1
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",0.3
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",52.5
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",0
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",26
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",0
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",0
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",3.2
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0.01
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",159.5
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",18.35
-93.270833,16.233333,CHIS,VIFCP,"Villaflores, Chis.",0
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",47.6
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",62.21
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",10
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",6
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",20
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",17
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",6.5
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",23
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",13.5
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",44.92
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",32.2
