LON,LAT,EDO,CLAVE,ESTACION,dic-13
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",11.01
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",37.3
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",12.4
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",7
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",20.5
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",16
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",8.71
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",72.1
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",4.02
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",5.81
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos Múzquiz, Coah. SMN*",5.2
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",16.4
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",22.4
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",26.5
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",32
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",59.5
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",69.4
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",11.5
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",17
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",2.5
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",5.2
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",26
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",10.6
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",10
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",12.02
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",37
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",30.1
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",61.42
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",30
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",42.7
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",54.11
-103.733333,19.233333,COL,COLIMAob,"Observatorio de Colima, Col. SMN*",46.8
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",36.32
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",75
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",39.51
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",14.48
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",7
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",30
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",72.6
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",71.1
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",63.21
-104.1,18.936111,COL,RDRCM,"Radar, Col.",40.2
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",38.3
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",8.51
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",58
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",15
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",5.33
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",0
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",1
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",1.8
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",0
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",0
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",3.3
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",12.9
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",0.3
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",0
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",0
