Lon,Lat,Clave,Edo,Est,Tmin
-105.81,27.46,VDEZARAGOZAJ,CHIH,Valle de Zaragoza Chih. JCAS*,4.7
-105.16,26.74,CORONADOJ,CHIH,Coronado Chih. JCAS*,4.0
-107.48,28.55,GUERREROJ,CHIH,Guerrero Chih. JCAS*,-1.8
-106.96,29.95,RFMAGONJ,CHIH,Ricardo Flores MagÛn Chih. JCAS*,3.2
-107.92,30.41,NCGJ,CHIH,Nuevo Casas Grandes Chih. JCAS*,4.5
-92.4,15,HUECP,CHIS,Huehuet·n Chis.,22.3
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,20.8
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,20.6
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,19.7
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,20.7
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,21.2
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,11.9
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,15.8
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,13.6
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,15.0
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,20.2
-92.67,15.92,REFCP,CHIS,Reforma Chis.,11.5
-93.08,16.16,REVCP,CHIS,RevoluciÛn Mexicana Chis.,13.3
-92.1,16.2,COOCP,CHIS,Observatorio de Comit·n Chis.,10.8
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,13.3
-92.78,16.4,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,16.9
-92.8,16.55,ACACP,CHIS,Acala Chis.,15.2
-90.7,16.58,LACCP,CHIS,Lacant˙n Chis.,18.2
-93.15,16.64,BOQCP,CHIS,BoquerÛn Chis.,16.5
-92.63,16.73,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,5.2
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,17.3
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,17.7
