Lon,Lat,Clave,Edo,Est,Tmin,,
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. LeÛn Chih.,20.6,,
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,13.1,,
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,13.7,,
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,17.2,,
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,12.8,,
-106.4,31.74,CJZCH,CHIH,Ciudad Ju·rez Chih.,18.3,,
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,12.9,,
-106.22,27.45,BOCADELRIO,CHIH,Boca del RÌo Chih. SGT*,15.9,,
-107.26,28.77,BACCH,CHIH,BachÌniva Chih.,11.4,,
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,11.2,,
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,9.4,,
-106.35,26.95,CONCHOSob,CHIH,Observatorio de Conchos Chih. SMN*,15.3,,
-104.91,27.11,JIMENEZCHIH,CHIH,JimÈnez Chih. SMN*,14.6,,
-104.91,27.14,JIMENEZ2CHIH,CHIH,JimÈnez Chih. SGT*,15.0,,
-108.54,27.39,CHICH,CHIH,ChÌnipas Chih. SMN*,22.1,,
-107.63,27.75,CRLCH,CHIH,Creel Chih.,9.7,,
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,16.5,,
-105.77,27.99,VILLALBA,CHIH,Villalba Chih. SGT*,16.6,,
-105.5,28.17,DELICIAS,CHIH,Ciudad Delicias Chih. SMN*,17.4,,
-108.21,28.2,BASCH,CHIH,Basaseachi Chih. SMN*,9.2,,
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,14.0,,
-107.48,28.48,PABRGONZALEZ,CHIH,Presa Abraham Gonz·lez Chih. SGT*,11.6,,
-106.03,28.67,CHIHUAHUAob,CHIH,Observatorio de Chihuahua Chih. SMN*,16.2,,
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,7.3,,
-107.82,28.95,TEMOSACHICob,CHIH,Observatorio de TemÛsachic Chih. SMN*,10.3,,
-105.28,28.99,HGRANERO,CHIH,El Granero hidromÈtrica Chih. SGT*,19.7,,
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,13.3,,
-106.43,31.69,CDJUAREZob,CHIH,Observatorio de Ciudad Ju·rez Chih. SMN*,17.4,,
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,6.4,,
-105.68,26.92,PRRCH,CHIH,Observatorio de Parral Chih.,15.0,,
-107.97,26.94,TB2CH,CHIH,Tubares 2 Chih.,21.9,,
-105.38,27.58,COLINA,CHIH,Colina Chih. SGT*,14.7,,
-108.52,28.15,C08182,CHIH,Moris Chih.,16.2,,
-107.7,28.76,C08243,CHIH,Tejolocachi Chih.,9.7,,
-105.96,28.77,C08270,CHIH,La Mesa Chih.,15.2,,
-106.48,28.8,C08099,CHIH,Majalca Chih.,8.7,,
-107.85,28.95,TMCCH,CHIH,Observatorio de TemÛsachic Chih.,11.8,,
-108.09,29.25,C08219,CHIH,PeÒitas Chih.,6.3,,
-107.93,30.38,CAGCH,CHIH,Observatorio de Nuevo Casas Grandes Chih.,13.0,,
-92.4,15,HUECP,CHIS,Huehuet·n Chis.,23.8,,
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,23.9,,
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,23.7,,
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,24.2,,
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,19.2,,
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,22.5,,
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,22.6,,
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,23.1,,
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,24.0,,
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,18.5,,
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,18.5,,
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,21.0,,
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,19.1,,
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,19.5,,
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,22.8,,
