Lon,Lat,Clave,Edo,Est,Tmin,,,
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,20.2,,,
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,20.6,,,
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla GutiÈrrez Chis. SMN*,20.6,,,
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,20.1,,,
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,18.9,,,
-93.33,17.12,YAMCP,CHIS,YamonhÛ Chis.,19.8,,,
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,20.9,,,
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,17.9,,,
-93.46,17.45,PENCP,CHIS,¡ngel Albino Corzo Chis.,22.1,,,
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,20.9,,,
-92.97,15.73,CUXTEPEQUES,CHIS,Finca Cuxtepeques Chis. SGT*,16.5,,,
-92.18,14.63,ILRAYON,CHIS,Ignacio LÛpez RayÛn Chis. SGT*,23.0,,,
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. SGT*,19.2,,,
-93.25,16.25,VILLAFLORES,CHIS,Villaflores Chis. SGT*,18.5,,,
-91.71,16.38,CHAYABE,CHIS,Finca ChayabÈ Chis. SGT*,14.9,,,
-93.56,16.69,LASFLORESII,CHIS,Las Flores Dos Chis. SGT*,19.3,,,
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,9.9,,,
-92.32,15.56,SILTEPEC,CHIS,Siltepec Chis. SGT*,18.5,,,
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,19.3,,,
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,15.5,,,
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,18.4,,,
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,25.6,,,
-92.15,14.7,SUCHIATE,CHIS,Suchiate Chis. SGT*,23.4,,,
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,24.0,,,
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,22.5,,,
-92.76,15.07,ENCRUCIJADA,CHIS,La Encrucijada Chis. SMN*,24.0,,,
-92.67,15.33,ESCUINTLA,CHIS,Escuintla Chis. SMN*,22.3,,,
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,24.5,,,
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. SMN*,18.9,,,
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,18.9,,,
-93.91,16.24,CREDARRIAGA,CHIS,Cred Arriaga Chis. SMN*,24.9,,,
-92.48,16.55,TEOPISCA,CHIS,Teopisca Chis. SGT*,12.1,,,
-93.56,16.69,LASFLORESCFE,CHIS,Las Flores Chis. CFE*,19.5,,,
-92.34,16.85,OXCHUC,CHIS,Oxchuc Chis. SGT*,9.5,,,
-93.55,17.35,SITALA,CHIS,Sitala Chis. SGT*,16.2,,,
-92.83,17.37,ESCALONCP,CHIS,El EscalÛn Chis. SGT*,18.7,,,
-91.92,17.44,FIMADERO,CHIS,Francisco I. Madero Chis. SGT*,20.1,,,
-91.7,17.47,CHACAMAX,CHIS,Chacamax Chis. SGT*,22.5,,,
-91.99,17.53,PLQCP,CHIS,Palenque Chis. SMN*,21.6,,,
-92.33,17.56,SALTODEAGUA,CHIS,Salto de Agua Chis. SGT*,21.9,,,
-92.25,15.36,CREDMOTOZINTLA,CHIS,Cred Motozintla Chis. SMN*,16.2,,,
-93.9,16.24,AROCP,CHIS,Observatorio de Arriaga Chis.,22.2,,,
-93.56,16.7,LFLCP,CHIS,Las Flores Chis.,19.6,,,
-91.52,16.81,MAZULES,CHIS,Montes Azules Chis. SMN*,18.5,,,
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,12.4,,,
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,9.0,,,
-101.02,25.38,STOCL,COAH,Saltillo Coah.,10.3,,,
-103.45,25.53,TORREONob,COAH,Observatorio de TorreÛn Coah. SMN*,12.7,,,
-103.45,25.54,TORCL,COAH,Observatorio de TorreÛn Coah.,12.5,,,
-103.47,25.54,CYTCL,COAH,Coyote Coah.,11.9,,,
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,10.7,,,
-102.98,25.76,SPECL,COAH,San Pedro Coah.,10.5,,,
-102.06,26.98,CCGCL,COAH,Cuatro CiÈnegas Coah.,12.2,,,
-101,27.42,PRSCL,COAH,Progreso Coah.,9.4,,,
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,13.6,,,
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,12.3,,,
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,11.9,,,
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,13.7,,,
-100.95,29.33,CDACL,COAH,Ciudad AcuÒa Coah.,12.6,,,
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,11.6,,,
-103.28,25.07,LFLDR,COAH,La Flor Coah.,7.7,,,
-100.84,28.34,ADLCL,COAH,Allende Coah.,12.6,,,
-102.81,25.33,VSCCL,COAH,Viesca Coah.,9.3,,,
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,8.1,,,
-103.23,25.53,MATCL,COAH,Matamoros Coah.,12.1,,,
-100.95,27.52,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,14.9,,,
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,11.5,,,
-101.71,28.01,MORELOSMUZQUIZ,COAH,Morelos M˙zquiz Coah. SMN*,9.1,,,
-101.21,28.4,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,9.3,,,
-100.57,28.68,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,14.3,,,
-102.52,28.83,OCAMPO,COAH,Ocampo Coah. SMN*,9.8,,,
-101.43,26.9,MONCLOVAob,COAH,Observatorio de Monclova Coah. SMN*,14.2,,,
-100.92,25.44,ESLCL,COAH,SecretarÌa de Agricultura Saltillo Coah.,10.2,,,
-101.42,26.91,MCVCL,COAH,Observatorio de Monclova Coah.,14.3,,,
-102.04,26.99,CUATROCIENEGAS,COAH,Cuatro CiÈnegas Coah. SMN*,10.8,,,
-100.53,28.71,PNGCL,COAH,Observatorio de Piedras Negras Coah.,14.5,,,
-103.87,19.17,LAECM,COL,La Esperanza Col.,17.4,,,
-103.73,18.76,CDOCM,COL,Cerro de Ortega Col.,22.0,,,
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,22.0,,,
-103.87,18.91,TCMCM,COL,Tecom·n Col.,22.4,,,
-103.8,19.21,CQMCM,COL,Coquimatl·n Col.,20.8,,,
-103.73,19.22,LPSCM,COL,La Posta Col.,19.4,,,
-104.1,18.94,RDRCM,COL,Radar Col.,22.2,,,
-103.81,19.33,PNTCM,COL,PeÒitas Col.,20.0,,,
-103.6,19.32,CUACM,COL,CuauhtÈmoc Col.,19.4,,,
-110.95,18.73,ISOCORROMAR,COL,Isla Socorro Col. SEMAR*,24.4,,,
-104.32,19.05,MANZANILLOob,COL,Observatorio de Manzanillo Col. SMN*,23.4,,,
-104.3,19.07,MANZANILLOMAR,COL,Manzanillo Col. SEMAR*,23.3,,,
-103.73,19.23,COLIMAob,COL,Observatorio de Colima Col. SMN*,18.8,,,
-104.32,19.04,MNZCM,COL,Observatorio de Manzanillo Col.,24.1,,,
-103.88,19.11,DJLCM,COL,Presa derivadora Jala Col.,19.1,,,
-103.61,19.25,BVSCM,COL,Buenavista Col.,18.2,,,
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,6.5,,,
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,11.9,,,
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,6.6,,,
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,3.5,,,
-104.68,23.87,SBYDR,DGO,Santiago Bayacora Dgo.,6.6,,,
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,5.2,,,
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,3.9,,,
-104.67,24.03,DRGDR,DGO,Durango Dgo.,6.3,,,
-104.12,24.44,CGVDR,DGO,Ciudad Guadalupe Victoria Dgo.,4.7,,,
-104.75,24.5,CNTDR,DGO,Canatl·n Dgo.,5.7,,,
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,4.8,,,
-106.54,24.7,TDRDR,DGO,El Tule del Real Dgo.,19.2,,,
-103.7,24.87,CNCDR,DGO,CuencamÈ Dgo.,10.4,,,
-105.42,25.04,SPPDR,DGO,Santiago Papasquiaro Dgo.,6.3,,,
-105.44,25.22,SACDR,DGO,SalomÈ Acosta Dgo.,3.5,,,
-104.07,25.26,AM2DR,DGO,AgustÌn Melgar Dgo. SMN*,4.2,,,
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,11.6,,,
-105.25,25.5,GESDR,DGO,General Escobedo Dgo.,9.4,,,
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,10.8,,,
-105.02,25.59,LCRDR,DGO,L·zaro C·rdenas Dgo.,9.9,,,
-103.85,25.82,MPMDR,DGO,MapimÌ Dgo.,9.4,,,
-105.96,25.93,GNCDR,DGO,Guanacevit Dgo.,-3.5,,,
-105.37,25.95,SMODR,DGO,Santa MarÌa del Oro Dgo.,1.8,,,
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,11.6,,,
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,4.8,,,
-105.56,26.44,SGBDR,DGO,San Gabriel Dgo.,1.9,,,
-105.51,26.45,VOCDR,DGO,Villa Ocampo Dgo.,1.9,,,
-105.5,26.44,VILLAOCAMPO,DGO,Villa Ocampo Dgo. SMN*,3.1,,,
-104.66,24.2,PAGDR,DGO,PeÒa del ¡guila Dgo.,4.8,,,
-104.28,25.08,SLCDR,DGO,San Luis del Cordero Dgo.,7.3,,,
-103.98,23.74,VGCDR,DGO,Vicente Guerrero Dgo.,3.9,,,
-105.35,23.69,SLTDR,DGO,El Salto Dgo.,-3.6,,,
-104.92,24.8,GUADR,DGO,GuatimapÈ Dgo.,0.9,,,
-104.67,23.87,SB2DR,DGO,Santiago Bayacora hidromÈtrica Dgo.,6.7,,,
-103.96,24,FV2DR,DGO,Francisco Villa hidromÈtrica Dgo.,4.0,,,
-104.66,24.24,PA2DR,DGO,PeÒa del ¡guila hidromÈtrica Dgo.,4.8,,,
